payment_id,merchant_id,order_id,payment_method,gateway_status,order_fulfillment,amount_paise,amount_inr,order_amount_paise,order_amount_inr,settlement_count,settled_net_amount_inr,interchange_fee_inr,tax_inr,dispute_event_count,ledger_entry_count,is_anomalous,anomaly_type,severity,finance_ops_state,exposure_inr,created_at
PAY-000033,mer_fashion_hub,ORD-000033,CARD,REFUNDED,FULFILLED,381500,3815.0,381500,3815.0,1,3747.49,57.22,10.29,1,2,FALSE,NORMAL,NONE,RECONCILED,0.0,2026-08-03T01:50:00
PAY-000034,mer_groceries_express,ORD-000034,UPI,CAPTURED,FULFILLED,1450800,14508.0,1450800,14508.0,1,14251.21,217.62,39.17,0,1,FALSE,NORMAL,NONE,RECONCILED,0.0,2026-08-03T03:26:00
PAY-000035,mer_groceries_express,ORD-000035,CARD,CAPTURED,FULFILLED,2822200,28222.0,2822200,28222.0,1,27722.48,423.33,76.19,0,1,FALSE,NORMAL,NONE,RECONCILED,0.0,2026-08-03T05:53:00
PAY-000036,mer_retail_kart,ORD-000036,NETBANKING,CAPTURED,FULFILLED,2105200,21052.0,2105200,21052.0,1,20679.38,315.78,56.84,0,1,FALSE,NORMAL,NONE,RECONCILED,0.0,2026-08-03T07:04:00
PAY-000037,mer_fashion_hub,ORD-000037,NETBANKING,CAPTURED,FULFILLED,1267800,12678.0,1267800,12678.0,1,12453.6,190.17,34.23,0,1,FALSE,NORMAL,NONE,RECONCILED,0.0,2026-08-03T09:14:00
PAY-000038,mer_fashion_hub,ORD-000038,UPI,CAPTURED,FULFILLED,3844000,38440.0,3844000,38440.0,1,37759.62,576.6,103.78,0,1,FALSE,NORMAL,NONE,RECONCILED,0.0,2026-08-03T11:39:00
PAY-000039,mer_travel_hub,ORD-000039,UPI,CAPTURED,FULFILLED,1388600,13886.0,1388600,13886.0,1,13640.22,208.29,37.49,0,1,FALSE,NORMAL,NONE,RECONCILED,0.0,2026-08-03T13:48:00
PAY-000040,mer_travel_hub,ORD-000040,UPI,CAPTURED,FULFILLED,2122000,21220.0,2122000,21220.0,1,20844.41,318.3,57.29,0,1,FALSE,NORMAL,NONE,RECONCILED,0.0,2026-08-03T15:50:00
PAY-000041,mer_retail_kart,ORD-000041,CARD,DISPUTED,FULFILLED,3365300,33653.0,3365300,33653.0,1,33057.35,504.79,90.86,1,2,FALSE,NORMAL,NONE,RECONCILED,0.0,2026-08-03T17:19:00
PAY-000042,mer_fashion_hub,ORD-000042,NETBANKING,CAPTURED,FULFILLED,4058600,40586.0,4058600,40586.0,1,39867.63,608.79,109.58,0,1,FALSE,NORMAL,NONE,RECONCILED,0.0,2026-08-03T19:50:00
PAY-000043,mer_health_plus,ORD-000043,NETBANKING,CAPTURED,FULFILLED,930000,9300.0,930000,9300.0,1,9135.39,139.5,25.11,0,1,FALSE,NORMAL,NONE,RECONCILED,0.0,2026-08-03T21:18:00
PAY-000044,mer_fashion_hub,ORD-000044,UPI,CAPTURED,FULFILLED,2297100,22971.0,2297100,22971.0,1,22564.42,344.56,62.02,0,1,FALSE,NORMAL,NONE,RECONCILED,0.0,2026-08-03T23:18:00
PAY-000045,mer_retail_kart,ORD-000045,CARD,REFUNDED,FULFILLED,4206800,42068.0,4206800,42068.0,1,41323.4,631.02,113.58,1,2,FALSE,NORMAL,NONE,RECONCILED,0.0,2026-08-04T01:32:00
PAY-000046,mer_travel_hub,ORD-000046,CARD,CAPTURED,FULFILLED,2945600,29456.0,2945600,29456.0,1,28934.63,441.84,79.53,0,1,FALSE,NORMAL,NONE,RECONCILED,0.0,2026-08-04T03:42:00
PAY-000047,mer_tech_gadgets,ORD-000047,UPI,CAPTURED,FULFILLED,2469600,24696.0,2469600,24696.0,1,24258.89,370.44,66.67,0,1,FALSE,NORMAL,NONE,RECONCILED,0.0,2026-08-04T05:46:00
PAY-000048,mer_retail_kart,ORD-000048,UPI,CAPTURED,FULFILLED,1426700,14267.0,1426700,14267.0,1,14014.48,214.0,38.52,0,1,FALSE,NORMAL,NONE,RECONCILED,0.0,2026-08-04T07:47:00
PAY-000049,mer_groceries_express,ORD-000049,CARD,REFUNDED,FULFILLED,1601400,16014.0,1601400,16014.0,1,15730.56,240.21,43.23,1,2,FALSE,NORMAL,NONE,RECONCILED,0.0,2026-08-04T09:13:00
PAY-000050,mer_groceries_express,ORD-000050,CARD,FAILED,CANCELLED,1798500,17985.0,1798500,17985.0,0,0.0,0.0,0.0,0,0,FALSE,NORMAL,NONE,RECONCILED,0.0,2026-08-04T11:12:00
PAY-000051,mer_tech_gadgets,ORD-000051,CARD,REFUNDED,FULFILLED,3066600,30666.0,3066600,30666.0,1,30123.22,459.99,82.79,1,2,FALSE,NORMAL,NONE,RECONCILED,0.0,2026-08-04T13:27:00
PAY-000052,mer_travel_hub,ORD-000052,NETBANKING,CAPTURED,FULFILLED,1879200,18792.0,1879200,18792.0,1,18459.39,281.88,50.73,0,1,FALSE,NORMAL,NONE,RECONCILED,0.0,2026-08-04T15:31:00
PAY-000053,mer_retail_kart,ORD-000053,CARD,CAPTURED,FULFILLED,1761800,17618.0,1761800,17618.0,1,17306.17,264.27,47.56,0,1,FALSE,NORMAL,NONE,RECONCILED,0.0,2026-08-04T17:21:00
PAY-000054,mer_health_plus,ORD-000054,UPI,CAPTURED,FULFILLED,2909900,29099.0,2909900,29099.0,1,28583.96,436.48,78.56,0,1,FALSE,NORMAL,NONE,RECONCILED,0.0,2026-08-04T19:47:00
PAY-000055,mer_health_plus,ORD-000055,UPI,CAPTURED,FULFILLED,61000,610.0,61000,610.0,1,599.21,9.15,1.64,0,1,FALSE,NORMAL,NONE,RECONCILED,0.0,2026-08-04T21:42:00
PAY-000056,mer_travel_hub,ORD-000056,UPI,REFUNDED,FULFILLED,4397500,43975.0,4397500,43975.0,1,43196.65,659.62,118.73,1,2,FALSE,NORMAL,NONE,RECONCILED,0.0,2026-08-04T23:12:00
PAY-000057,mer_travel_hub,ORD-000057,NETBANKING,CAPTURED,FULFILLED,1307200,13072.0,1307200,13072.0,1,12840.63,196.08,35.29,0,1,FALSE,NORMAL,NONE,RECONCILED,0.0,2026-08-05T01:33:00
PAY-000058,mer_retail_kart,ORD-000058,UPI,CAPTURED,FULFILLED,1930300,19303.0,1930300,19303.0,1,18961.35,289.54,52.11,0,1,FALSE,NORMAL,NONE,RECONCILED,0.0,2026-08-05T03:20:00
PAY-000059,mer_fashion_hub,ORD-000059,NETBANKING,CAPTURED,FULFILLED,1162000,11620.0,1162000,11620.0,1,11414.33,174.3,31.37,0,1,FALSE,NORMAL,NONE,RECONCILED,0.0,2026-08-05T05:44:00
PAY-000060,mer_retail_kart,ORD-000060,CARD,CAPTURED,FULFILLED,4459200,44592.0,4459200,44592.0,1,43802.73,668.88,120.39,0,1,FALSE,NORMAL,NONE,RECONCILED,0.0,2026-08-05T07:23:00
